Country,PreferredFoot,PlayerAmount
Trinidad and Tobago, Left,2
Trinidad and Tobago, Right,5
Tunisia, Left,12
Tunisia, Right,20
Turkey, Left,87
Turkey, Right,205
Uganda, Left,1
Uganda, Right,7
Ukraine, Left,23
Ukraine, Right,45
United Arab Emirates, Left,4
United Arab Emirates, Right,20
United States, Left,74
United States, Right,337
Uruguay, Left,74
Uruguay, Right,210
Uzbekistan, Left,1
Uzbekistan, Right,5
Venezuela, Left,37
Venezuela, Right,174
Vietnam, Left,1
Wales, Left,24
Wales, Right,109
Zambia, Left,2
Zambia, Right,8
Zimbabwe, Left,4
Zimbabwe, Right,8
